,I pay close attention to my diet and nutrition.,Staying active and exercising is important to me.,I enjoy lazy days with no plans or responsibilities.,I prefer having a structured daily routine.,I like to indulge in non-essential purchases.,"I enjoy treating myself, even if it’s impractical.",I am highly goal-oriented in my studies or career.,I like making long-term plans for my future.,I prioritize work-life balance over professional ambition.,Financial stability is more important to me than chasing passion projects.,"I prefer a small, close-knit group of friends over a large social circle.",I enjoy social media and actively engage with it.,I love planning and hosting gatherings or parties.,"I value deep, meaningful conversations over casual small talk.",I enjoy playful teasing and harmless pranks with my friends.,I like playing games that encourage sharing personal thoughts and feelings.,I often check in on my friends to see how they’re doing.,I’m comfortable with my friends having different opinions and beliefs.,Social activism and making a difference are important to me.,I feel one should choose to buy from local businesses over large corporations.,I believe billionaires should not exist.,I try to live sustainably and minimize my impact on the planet.,I believe everything will eventually be explained by science.,I have strong religious or spiritual beliefs.,"I express what’s bothering me, even if it leads to uncomfortable conversations.",I’m a night owl.,I need friends who respond quickly to messages.,"I’m uncomfortable with excessive physical affection (hugging, etc.).",I love celebrating birthdays and important milestones with friends.,Spontaneous adventures are my favorite way to have fun.,I prefer cozy nights in over going out and socializing.,"I enjoy discussing deep topics like philosophy, science, or psychology.","I like participating in group activities like sports, board games, or trivia.",I enjoy dark humor and sarcasm.,I’d rather blend in than stand out in a group.,I’m always excited to try exotic and unusual foods.,"I enjoy following and discussing pop culture, TV shows, and movies.","I love going to concerts, festivals, or other live events with friends.","I enjoy taking spontaneous trips, even if it means postponing responsibilities.","I find thrill-seeking activities (e.g., skydiving, roller coasters) exciting.",I could spend hours getting lost in a book or creative project.,Watching or playing sports is an important part of my identity.,My profession is a defining part of who I am.,Expressing myself through fashion or style is important to me.,I believe gossiping about others is harmless fun.,I’m comfortable with my friends drinking alcohol.,I’m comfortable with my friends smoking cigarettes.,I’m comfortable with my friends using recreational drugs.
I pay close attention to my diet and nutrition.,1.0,0.569482745758361,-0.32701115760205984,0.371631833513955,-0.15562846469782723,-0.2579707726012353,0.27766333083700534,0.12085904661597129,0.03986912254710605,0.136769723078958,0.07001526036973377,0.03750846835148668,0.10071528492145973,0.03420047881005502,-0.003226419751088779,0.09514535523555764,0.23721164709247147,0.18789809764911675,0.07917373670194451,-0.024382920272712088,-0.1725478257668932,0.0182004204685927,0.042288650644078454,0.2619511065659857,-0.1006465035266485,-0.24283804413770912,0.012506153832236211,-0.07907343528168785,0.2115110878982901,0.045525519326974774,-0.046629964518229275,-0.0017101681111930857,0.1337044914624651,0.07168598383765135,0.09161466595028356,0.14659031699849565,0.27492249036838073,0.2684122458465767,-0.007002942186252731,0.2599795489160509,-0.17717191286723635,0.1399389220867891,0.011989018221488283,0.07550081595068373,-0.0722985305550898,-0.103258144909422,-0.07899963545006994,0.05196620506150862
Staying active and exercising is important to me.,0.569482745758361,1.0,-0.3161670751241283,0.2941207308164443,-0.17681994924061423,-0.17222144954649377,0.2552353165396869,0.19262881632983797,-0.06312170074684154,0.1691888529565429,0.1660395302743486,-0.07559922408973144,0.14932186863726382,-0.12164854001828618,0.07318242641104802,-0.027402050090115676,0.07563476321023743,0.1176004012513615,0.10878410449849424,-0.21836402390473855,-0.31701389433161575,0.11527646910370244,0.09849773050544768,0.10819917159399607,-0.09127610298372182,-0.2902790389328016,0.020115730562154335,-0.1338940751010298,0.08761086022444681,0.1481275815636919,-0.06499649651261338,-0.052731430083736076,0.2126125117393698,-0.10574094873953989,0.1132089465012208,-0.13798787401926232,0.24561681528195944,0.2276751453593743,-0.06637617970745548,0.27753498204985105,-0.02415543120203105,0.3692582735016967,-0.0009546329333961016,0.11779154258661012,-0.18561122686315662,-0.0696102261430302,-0.08241819738574502,-0.0891143311618855
I enjoy lazy days with no plans or responsibilities.,-0.32701115760205984,-0.3161670751241283,1.0,-0.2915812579823574,0.17804164374333536,0.19954116043613512,-0.26995598429634365,-0.1799779248786068,0.2391827493874163,0.07377320216810242,0.06569449819201552,0.11879420507274016,-0.09257776802776727,-0.06498822618392586,0.08225101629551837,-0.05411507923642074,0.019214154419404637,0.07090478877044498,-0.0003861471414971553,0.19455696639661788,0.0806708237920717,0.1985735012024966,-0.12411293534425352,-0.1506323111417202,0.027434464834373538,0.32311531700900414,0.034768612634660856,0.04461450148271088,-0.016841398960399455,0.06948912664555847,0.197032022886429,-0.09596720482652067,0.05315621701067411,-0.034936396927791886,0.028508875722810398,0.05335725736907768,0.04293370661002672,-0.011990548926842877,0.0652865335803768,-0.14350053545614383,0.04593127845889592,-0.010262766365789985,0.004147278441513161,0.06401197945770379,0.17359699303045098,0.10860924031347698,0.07858558638491664,0.0307763329588361
I prefer having a structured daily routine.,0.371631833513955,0.2941207308164443,-0.2915812579823574,1.0,0.028821845746344835,-0.1825691093859708,0.4172693044750623,0.2232211965859974,-0.008250778699466731,0.044495589647356934,0.0019193376975685087,-0.0709782776119507,0.19595449784069877,0.21144097121535554,-0.06502410406103905,0.21333799457152194,0.13562782750580923,-0.0024113877287536703,0.12451629348297745,0.09860388222654731,-0.1425340729042957,-0.05308369367676397,0.04170872366415544,0.27150648328386806,-0.10587035622994231,-0.37095788295253806,0.04491515807879527,-0.06033202232745392,0.21552321384653378,-0.09156634964402953,0.10906577577106585,0.11876159715152423,0.043147691964443416,-0.10552435104469102,0.08028397593777484,0.04099318141477919,0.321998906238954,0.2150874683482471,-0.17366642759545806,0.1233274640271476,0.06657685294338266,0.00023500743486547853,0.10922872438175713,0.1245957455483231,-0.06777521272728153,-0.01633594023322971,0.011654123194558046,-0.059264176334329774
I like to indulge in non-essential purchases.,-0.15562846469782723,-0.17681994924061423,0.17804164374333536,0.028821845746344835,1.0,0.3624468495255707,0.2415148079873507,0.20801422718437873,0.02978969058118888,0.024173587160883622,-0.03470401726231802,0.27312061661077025,0.36511507451514685,0.1673382510722486,-0.04168561086939351,0.1768622888497474,0.22790503310578591,0.00881596537676539,0.11616561732787527,0.18646315212264442,0.06557954513399157,-0.05587413904851541,0.11885931275189165,-0.1878452573764967,0.17293716472269355,0.17388676545389745,0.003165588387253647,-0.07753886067629336,0.31604643381119885,0.015603870984436673,0.05951985384031935,0.2669485988476741,0.04186728297313794,-0.011180741641395505,-0.07543213567763872,0.22974692659967766,0.29896733492830313,0.2820358553383035,0.1826753726497643,0.039523704835644005,0.08794807458765797,-0.0007754712841289298,-0.04069800717647251,0.365415266476822,0.022841541059770112,0.2593148265264827,0.14734193255896366,0.1482815939682494
"I enjoy treating myself, even if it’s impractical.",-0.2579707726012353,-0.17222144954649377,0.19954116043613512,-0.1825691093859708,0.3624468495255707,1.0,0.130198612647011,0.109582797569461,-0.011792018625493525,-0.04273083028176971,0.004727502552858255,0.17067913529573608,0.0948277707518803,0.10275673906889479,0.23162589181411564,0.0035280590789234624,0.19411865947588855,0.014540485984844037,0.11048845986192539,-0.041563525469210744,-0.08642357942307415,0.10466046640650198,0.31573871418862715,-0.048614884356326035,0.1480368402406931,0.25861521414002286,0.2599521918810145,-0.09613233893472446,0.0795768909465018,0.22152469724228305,-0.031522726472434405,-0.010391867316522098,-0.23227378789810654,0.008385165405816674,-0.06501684367772165,0.17197574149669742,0.08151633525599082,0.18012214521500433,0.347171911865914,0.09963324741775369,0.12655541508759435,-0.03338626232840071,0.03060692487105552,0.22995486266009724,0.1598368642139609,0.16186207531991814,0.16431036244826247,0.04377048002070599
I am highly goal-oriented in my studies or career.,0.27766333083700534,0.2552353165396869,-0.26995598429634365,0.4172693044750623,0.2415148079873507,0.130198612647011,1.0,0.5180592568406729,-0.2037577902116793,-0.0290984898017603,0.05979670812187774,0.06929906421787424,0.22019513041812278,0.14655697646957178,0.06937318703775222,0.14999376581564236,0.15332856499875355,0.09422031129758245,0.13568852913785193,-0.038439262898752234,-0.3388161413048531,-0.15225045687812278,0.28525815090903306,0.13860683209513397,0.026453527287648892,0.0035017451368987147,0.1354612060401652,0.06015627649284248,0.331317941009562,0.07867375492261622,0.08452149365345313,0.1310987914501693,0.03094969535711604,0.018882581228970557,0.07077214392343316,0.14199199875740273,0.42252695041360705,0.276382373668747,-0.06153449105344457,0.12232912077517762,0.18148317078525805,0.0746977819797291,0.36893334485861207,0.22753837947882044,0.06666610946041056,0.13435104647141025,0.038505709293959266,-0.0008609944942564003
I like making long-term plans for my future.,0.12085904661597129,0.19262881632983797,-0.1799779248786068,0.2232211965859974,0.20801422718437873,0.109582797569461,0.5180592568406729,1.0,-0.006324309172685603,0.1872490167780101,0.12541578715769458,0.04986827828198159,0.19110139677872193,0.15176665335759726,0.12092156704475097,0.04599703883406045,0.10752791667943652,0.02350525340600112,-0.055938055568933234,-0.1088406795258339,-0.1890848878146167,-0.125648787125539,0.17474507599578035,0.16987014613718712,0.05652459275134846,0.06632672975270092,0.17958119458135247,0.009418807383050074,0.06758131633097876,0.024116465479799534,0.16142284184157724,0.07200077146073511,-0.07027341548933497,0.014266381325885827,-0.06494174095453892,0.11817703240211906,0.19164436247843333,0.03358663721995525,-0.007152997978034667,0.09790256503489005,0.05233035623128301,0.06697277808253328,0.24690103205221545,0.09414896187647966,0.036662130093651324,-0.10626684162101033,-0.08536699454592539,-0.1206675566652188
I prioritize work-life balance over professional ambition.,0.03986912254710605,-0.06312170074684154,0.2391827493874163,-0.008250778699466731,0.02978969058118888,-0.011792018625493525,-0.2037577902116793,-0.006324309172685603,1.0,0.2620416399735506,0.04718886609258894,0.11672167576653117,0.22170114844604955,0.05361635268358662,0.08137781180290644,0.12472060532078887,0.1507684071900901,0.06154472264335821,0.13829296660373633,0.1329029470331962,0.1929992948229311,0.2421515282186439,-0.14018552696004566,-0.011304646302922826,0.07524755721047055,0.09754667021983425,0.17951087686383366,-0.05842344279607571,0.22085892761550555,0.04395495181304177,0.0005015408534122753,-0.06368201116437439,-0.021947636606102407,-0.11756255502362926,0.14774943135046423,0.018680557300105163,0.0753201822793027,0.19857394164207534,0.06211984927982136,0.0951648796304742,-0.14906803122049572,-0.06041920899700617,-0.16527973838016663,0.21727924370899085,0.02145107746984697,0.0946015343190562,0.1886651862027935,0.19681873521236634
Financial stability is more important to me than chasing passion projects.,0.136769723078958,0.1691888529565429,0.07377320216810242,0.044495589647356934,0.024173587160883622,-0.04273083028176971,-0.0290984898017603,0.1872490167780101,0.2620416399735506,1.0,0.08559518315737674,0.16922880112288374,0.11917557257800544,0.11104567756248736,0.08573911880570649,-0.019281563137685025,0.15320305763034286,0.02384113768081786,-0.04870298094615164,0.02128667268596623,-0.11677730816956215,-0.07713532407031438,-0.10801096795432683,0.20994691511291402,0.08484254887052063,0.08561218733656867,0.29062598609552825,-0.08463953988079673,0.09182409543974708,0.09981540604600031,0.13072595662739614,-0.09931547557422694,0.020123067033326572,0.08687405248299855,0.020894198914967545,-0.028316730767645102,0.11831797991033974,0.12107743450965694,0.08212888612634396,0.07132058007922892,-0.33478466932119033,0.2883841171657882,-0.2047416932009498,0.08771290240620613,0.05347092327086543,-0.039214646499323866,0.07925222202523362,-0.11224335768209803
