,I pay close attention to my diet and nutrition.,Staying active and exercising is important to me.,I enjoy lazy days with no plans or responsibilities.,I prefer having a structured daily routine.,I like to indulge in non-essential purchases.,"I enjoy treating myself, even if it’s impractical.",I am highly goal-oriented in my studies or career.,I like making long-term plans for my future.,I prioritize work-life balance over professional ambition.,Financial stability is more important to me than chasing passion projects.,"I prefer a small, close-knit group of friends over a large social circle.",I enjoy social media and actively engage with it.,I love planning and hosting gatherings or parties.,"I value deep, meaningful conversations over casual small talk.",I enjoy playful teasing and harmless pranks with my friends.,I like playing games that encourage sharing personal thoughts and feelings.,I often check in on my friends to see how they’re doing.,I’m comfortable with my friends having different opinions and beliefs.,Social activism and making a difference are important to me.,I feel one should choose to buy from local businesses over large corporations.,I believe billionaires should not exist.,I try to live sustainably and minimize my impact on the planet.,I believe everything will eventually be explained by science.,I have strong religious or spiritual beliefs.,"I express what’s bothering me, even if it leads to uncomfortable conversations.",I’m a night owl.,I need friends who respond quickly to messages.,"I’m uncomfortable with excessive physical affection (hugging, etc.).",I love celebrating birthdays and important milestones with friends.,Spontaneous adventures are my favorite way to have fun.,I prefer cozy nights in over going out and socializing.,"I enjoy discussing deep topics like philosophy, science, or psychology.","I like participating in group activities like sports, board games, or trivia.",I enjoy dark humor and sarcasm.,I’d rather blend in than stand out in a group.,I’m always excited to try exotic and unusual foods.,"I enjoy following and discussing pop culture, TV shows, and movies.","I love going to concerts, festivals, or other live events with friends.","I enjoy taking spontaneous trips, even if it means postponing responsibilities.","I find thrill-seeking activities (e.g., skydiving, roller coasters) exciting.",I could spend hours getting lost in a book or creative project.,Watching or playing sports is an important part of my identity.,My profession is a defining part of who I am.,Expressing myself through fashion or style is important to me.,I believe gossiping about others is harmless fun.,I’m comfortable with my friends drinking alcohol.,I’m comfortable with my friends smoking cigarettes.,I’m comfortable with my friends using recreational drugs.
I pay close attention to my diet and nutrition.,1.0,0.5566840813809774,-0.3633062173797415,0.37732737746994066,-0.14587982977589467,-0.2767251714565302,0.266027696383188,0.10691928039991727,0.021750725093789287,0.13691519685208187,0.026086772783832382,0.03728400349918386,0.11060435326042783,-0.012265601523946965,-0.08834126146303374,0.07274281571410451,0.2316189570039118,0.11481482898816418,0.07230826630583265,-0.047012026816189934,-0.16667920474463696,0.028448556520659772,0.02142436923645664,0.303769524953936,-0.11577705543705642,-0.2772612756210639,0.0005305241613043799,-0.06923894043180903,0.21217831346005223,0.023581698043051404,-0.07587191288418835,-0.05159203854647228,0.08989306038743934,-0.004161960710710669,0.08573187163418462,0.13093520225239627,0.2643044013209357,0.2528183866091301,-0.007098961942985056,0.2631177552489702,-0.1508485844358311,0.1392896610553783,-0.02060585253229379,0.09009954467323338,-0.07725162908862682,-0.11606770384997916,-0.08475515351290835,0.027303986541393623
Staying active and exercising is important to me.,0.5566840813809774,1.0,-0.31406412695136926,0.2723792923097027,-0.1844892249618257,-0.19207588313167065,0.2576105724940227,0.22400016601807488,-0.05533442177988619,0.20980261115955232,0.13805211033273598,-0.07464912770134188,0.16145467275759748,-0.10045701420266559,0.040559849102454956,-0.06405501713760353,0.06719929484579537,0.08863279912293187,0.07952126530793587,-0.2242392268225312,-0.3238529992603262,0.10012669561595486,0.06858389332196857,0.14174735393793803,-0.05665710363907598,-0.29511958274425265,0.006223894976217998,-0.13256647020820042,0.07689886250212856,0.15598906964214945,-0.08883568973122281,-0.059747304544392754,0.19317374820383565,-0.0648815697525689,0.10117495337655596,-0.17108563704802188,0.21999634358705794,0.1982326626893567,-0.04993188658057471,0.2605242761863045,-0.00838735584521734,0.3324386387625359,0.0028635515737804253,0.11680522312556617,-0.17348886235285282,-0.037301393911583804,-0.05534030631232851,-0.14344115397939455
I enjoy lazy days with no plans or responsibilities.,-0.3633062173797415,-0.31406412695136926,1.0,-0.27936641706862547,0.16445743244285413,0.24714310982480842,-0.27499343480261146,-0.13051954266807791,0.23009850928113598,0.07833541063583606,0.08751187860816803,0.07901033770130314,-0.1562787697675972,-0.046352027346469954,0.13863938942612075,-0.06455586378118444,0.036676412940355806,0.09770443969411703,0.02353821846293595,0.2202657291893108,0.05444680690856763,0.18039752535887568,-0.10349665450646804,-0.14323284588497082,0.0234781973365282,0.35849889023945236,0.025649090444030458,0.04706978290341174,-0.061105989746060414,0.11525128198942289,0.22473009751232353,-0.03855366132697528,0.05408170526792711,-0.008272470094646852,0.060767922360671474,0.039425696501620276,0.04024069880206915,-0.026271543734782146,0.03199617731905893,-0.11972214621660272,0.07467655575680646,-0.05912429911987162,-0.030759778267276095,0.029499022928979494,0.13144020064793657,0.05985943704271482,0.13948322715604156,0.04029095067915071
I prefer having a structured daily routine.,0.37732737746994066,0.2723792923097027,-0.27936641706862547,1.0,0.008040257213665183,-0.18053843823305582,0.38937535171293947,0.20784298325283898,-0.0017179217591969432,0.04638786764124145,-0.0120962376042489,-0.07214087085004173,0.18760882669055287,0.1804611399699645,-0.0586407810898537,0.2021348776866744,0.11247643743852292,-0.016563858283522685,0.12412158891626399,0.09164052298831928,-0.16031818624583727,-0.03606798430082517,0.020835898447634983,0.29299515598960935,-0.12389163386392149,-0.3781161766904327,0.048988670194385804,-0.06322109231181308,0.19138355232941986,-0.10258364637488249,0.0652680983150364,0.12769933180908066,0.016814714623213364,-0.13571977804445112,0.05707048040007804,0.023786396213351862,0.2922786688422721,0.20067302275298715,-0.16880065434631028,0.12249334940730625,0.07564439511754449,-0.013047266354980467,0.12305850772320291,0.13270726167787458,-0.07550190738512878,-0.03516357260452945,0.007889369609540883,-0.093551183606545
I like to indulge in non-essential purchases.,-0.14587982977589467,-0.1844892249618257,0.16445743244285413,0.008040257213665183,1.0,0.34194207774287616,0.24807262356631488,0.14794282199457356,0.026101564133132273,0.008595953532849964,-0.04684728939577448,0.2867259712673841,0.3470318797842608,0.15564173152950006,-0.06465987840731272,0.1848833138916428,0.21410039665101527,-0.01862780809950777,0.09962565116398374,0.1670752317222207,0.051725624806993144,-0.05860561542193729,0.09692541578864394,-0.15420651709341243,0.14872481664009674,0.13627084786647584,-0.001627042115818763,-0.06821517836437675,0.3196421280444226,-0.01954525623260683,0.035701470052486556,0.2834828225741955,0.054006530609911965,-0.021049267118111913,-0.06804350614790272,0.2442916147059124,0.3094292372835705,0.2919444555405652,0.18778267381721991,0.023659352672483393,0.07434392265300756,-0.01235779951860313,-0.012370664256839857,0.3491754227746709,0.031092850408625868,0.2538920518343007,0.14571942775346472,0.18005495497133886
"I enjoy treating myself, even if it’s impractical.",-0.2767251714565302,-0.19207588313167065,0.24714310982480842,-0.18053843823305582,0.34194207774287616,1.0,0.12539810015583494,0.09339705561040104,0.0006038876699015043,-0.04114362387218519,0.03402935117320629,0.1613790392451383,0.07185226003523523,0.16037031460931087,0.22292838291810263,0.002242948099902096,0.19522224928000606,0.04645000320843491,0.1163544882203578,-0.03247469017728756,-0.11489326551102483,0.12708053562813962,0.3165416404217377,-0.046423680032269675,0.1620358707108685,0.2582857581001674,0.25902243329614016,-0.10525950018771657,0.07354915586724466,0.24247147814584752,-0.0012265189725172835,0.06645248300892005,-0.17122467662384921,0.014270291604588215,-0.0715929412031602,0.17944064758753747,0.06547874302150074,0.18115285445349258,0.3447037914863326,0.1260954740294854,0.15031491249569331,-0.033966165961484815,0.05288411961176442,0.2047232782596049,0.15091270993704212,0.13827651532905064,0.17518054530221255,0.061744135564668484
I am highly goal-oriented in my studies or career.,0.266027696383188,0.2576105724940227,-0.27499343480261146,0.38937535171293947,0.24807262356631488,0.12539810015583494,1.0,0.5251098871155536,-0.19303321536878665,0.0011603350024624287,0.056113980303465656,0.10128403054305143,0.22261299682454616,0.1568721281519419,0.09175883586455558,0.1455163647105308,0.1282544370299596,0.08936794388732573,0.1356373531646189,-0.060357581177346374,-0.34475261514057953,-0.144494323487847,0.2674685711828532,0.1281854881136937,0.02356178715878462,0.0024952441717274215,0.11737689272151611,0.050953935084246955,0.3497792076561278,0.07963473673724047,0.05270881713159195,0.16523643236694296,0.015088018683772712,0.024589702269144847,0.0744942014657559,0.11023848945120739,0.4249046579001258,0.29841987235039563,-0.07346141143305182,0.12943725281442564,0.1643178491879926,0.0780412861309004,0.36507289392547376,0.24077946458709681,0.03549070704573441,0.15152181422168684,0.042332354095594715,-0.024831452320877995
I like making long-term plans for my future.,0.10691928039991727,0.22400016601807488,-0.13051954266807791,0.20784298325283898,0.14794282199457356,0.09339705561040104,0.5251098871155536,1.0,0.012897907006129524,0.21562479663113943,0.178750423455233,0.0495594337151353,0.17561001519220573,0.2007184004671819,0.2154037397741683,0.06797642134023915,0.13275718686714014,0.08154998800680684,-0.03469693711778058,-0.12850321916043747,-0.23331384452736906,-0.13002640560371495,0.14453418139649452,0.16537655160808432,0.05637905758451862,0.07162415505426174,0.20166376652153883,0.0011737532892944942,0.08986424758312632,0.053568813169576936,0.15938414613012944,0.14209285851218542,-0.03460620798207531,0.045988511743689425,-0.04864324538791332,0.08988893530253553,0.19162023718053242,0.05887650806578651,-0.031057767002965805,0.12072420300514101,0.09853086752906146,0.07761177623619016,0.2575741076016028,0.08366683207411484,0.02035937479375967,-0.08925768303743707,-0.07351765266801726,-0.17580753493512877
I prioritize work-life balance over professional ambition.,0.021750725093789287,-0.05533442177988619,0.23009850928113598,-0.0017179217591969432,0.026101564133132273,0.0006038876699015043,-0.19303321536878665,0.012897907006129524,1.0,0.2751577038990266,0.10569820577201233,0.117100658136022,0.2073552622842451,0.0627078632839594,0.10782631678767582,0.1457975853793018,0.1662286650354063,0.11114278910437116,0.13550997686932437,0.1356266897142756,0.18491842298187353,0.23641356690351975,-0.12964288687296313,-0.030160413735335852,0.0959023670021509,0.07960706811375749,0.1859415960114193,-0.07328863040397661,0.22315259022014144,0.08438139697439499,0.008744634091376621,-0.11129931145395056,-0.022737738946863657,-0.09713078354342432,0.14844592883963303,0.011612823006703228,0.06819004190549097,0.2067905701953529,0.07580049628568075,0.12165929035264464,-0.1273513527334117,-0.0638748964312489,-0.18935441623685323,0.2040215080999938,0.025900564362678753,0.1160474564724529,0.19788235439479718,0.21358230122746355
Financial stability is more important to me than chasing passion projects.,0.13691519685208187,0.20980261115955232,0.07833541063583606,0.04638786764124145,0.008595953532849964,-0.04114362387218519,0.0011603350024624287,0.21562479663113943,0.2751577038990266,1.0,0.09704886255966028,0.1448283263466246,0.12233391646202596,0.09444166228953217,0.09013790405723841,0.01974163489931398,0.18253309284181718,0.0881877830825711,-0.050635324307166364,0.0009366167697632469,-0.14918585850701085,-0.06886377062761267,-0.09202858901605505,0.21779718792039274,0.07713534175739374,0.0813906233764288,0.2937724092922945,-0.09590931738712578,0.10507996551083218,0.11158467677939388,0.14246110014801452,-0.08069851273145966,0.0592847551757961,0.07544507062481848,0.023628366030911997,-0.007185054413903266,0.12851523577924642,0.1317743501974396,0.09423821398636198,0.0852953944934635,-0.26485166106808244,0.28180782366850426,-0.19726215357568178,0.07933219031483278,0.055365775316727206,-0.059937865673882686,0.07509666541485828,-0.1351852104749832
